_bill,_district,_joined_at,_name,_state,_title,_type
s49,0,2017-01-05,"Murkowski, Lisa",AK,Sen,sponsor
s49,0,2017-01-05,"Sullivan, Dan",AK,Sen,original cosponsor
s50,0,2017-01-05,"Heller, Dean",NV,Sen,sponsor
s50,0,2017-01-05,"Heitkamp, Heidi",ND,Sen,original cosponsor
s51,0,2017-01-05,"Grassley, Chuck",IA,Sen,sponsor
s51,0,2017-01-05,"Cotton, Tom",AR,Sen,original cosponsor
s51,0,2017-01-05,"Cruz, Ted",TX,Sen,original cosponsor
s51,0,2017-01-05,"Ernst, Joni",IA,Sen,original cosponsor
s51,0,2017-01-05,"Hatch, Orrin G.",UT,Sen,original cosponsor
s51,0,2017-01-05,"Inhofe, James M.",OK,Sen,original cosponsor
s51,0,2017-01-05,"Lee, Mike",UT,Sen,original cosponsor
s51,0,2017-01-05,"McConnell, Mitch",KY,Sen,original cosponsor
s51,0,2017-01-05,"Moran, Jerry",KS,Sen,original cosponsor
s51,0,2017-01-09,"Perdue, David",GA,Sen,cosponsor
s51,0,2017-01-05,"Roberts, Pat",KS,Sen,original cosponsor
s51,0,2017-01-05,"Shelby, Richard C.",AL,Sen,original cosponsor
s51,0,2017-01-05,"Wicker, Roger F.",MS,Sen,original cosponsor
s52,0,2017-01-05,"Grassley, Chuck",IA,Sen,sponsor
s52,0,2017-01-05,"Boozman, John",AR,Sen,original cosponsor
s52,0,2017-01-05,"Cotton, Tom",AR,Sen,original cosponsor
s52,0,2017-01-05,"Cruz, Ted",TX,Sen,original cosponsor
s52,0,2017-01-05,"Inhofe, James M.",OK,Sen,original cosponsor
s52,0,2017-01-05,"Tillis, Thom",NC,Sen,original cosponsor
s53,0,2017-01-05,"Cantwell, Maria",WA,Sen,sponsor
s53,0,2017-01-10,"Murkowski, Lisa",AK,Sen,cosponsor
s53,0,2017-01-05,"Schatz, Brian",HI,Sen,original cosponsor
s53,0,2017-01-05,"Sullivan, Dan",AK,Sen,original cosponsor
s54,0,2017-01-05,"Booker, Cory A.",NJ,Sen,sponsor
s54,0,2017-01-24,"Cantwell, Maria",WA,Sen,cosponsor
s54,0,2017-02-02,"Carper, Thomas R.",DE,Sen,cosponsor
s54,0,2017-05-25,"Coons, Christopher A.",DE,Sen,cosponsor
