_id,_sort_name,_state,_district,_title,_full_district,_last_name,_facebook,_clean_name,_party,_twitter,_twitter_followers
K000382,"Kuster, Ann M.",NH,2,Rep,NH2,Kuster,CongresswomanAnnieKuster,Ann M. Kuster,Democrat,RepAnnieKuster,18617
L000578,"LaMalfa, Doug",CA,1,Rep,CA1,LaMalfa,RepLaMalfa,Doug LaMalfa,Republican,RepLaMalfa,13805
L000567,"Lance, Leonard",NJ,7,Rep,NJ7,Lance,CongressmanLance,Leonard Lance,Republican,RepLanceNJ7,14781
L000559,"Langevin, James R.",RI,2,Rep,RI2,Langevin,CongressmanJimLangevin,James R. Langevin,Democrat,JimLangevin,21135
L000557,"Larson, John B.",CT,1,Rep,CT1,Larson,RepJohnLarson,John B. Larson,Democrat,RepJohnLarson,22961
L000566,"Latta, Robert E.",OH,5,Rep,OH5,Latta,boblatta,Robert E. Latta,Republican,BobLatta,35290
L000581,"Lawrence, Brenda L.",MI,14,Rep,MI14,Lawrence,395759603917487,Brenda L. Lawrence,Democrat,RepLawrence,11302
L000551,"Lee, Barbara",CA,13,Rep,CA13,Lee,RepBarbaraLee,Barbara Lee,Democrat,RepBarbaraLee,178953
L000287,"Lewis, John",GA,5,Rep,GA5,Lewis,RepJohnLewis,John Lewis,Democrat,RepJohnLewis,915398
L000582,"Lieu, Ted",CA,33,Rep,CA33,Lieu,RepTedLieu,Ted Lieu,Democrat,RepTedLieu,102385
L000563,"Lipinski, Daniel",IL,3,Rep,IL3,Lipinski,repdanlipinski,Daniel Lipinski,Democrat,RepLipinski,11677
L000554,"LoBiondo, Frank A.",NJ,2,Rep,NJ2,LoBiondo,FrankLoBiondo,Frank A. LoBiondo,Republican,RepLoBiondo,15869
L000565,"Loebsack, David",IA,2,Rep,IA2,Loebsack,DaveLoebsack,David Loebsack,Democrat,DaveLoebsack,7213
L000397,"Lofgren, Zoe",CA,19,Rep,CA19,Lofgren,zoelofgren,Zoe Lofgren,Democrat,RepZoeLofgren,33351
L000576,"Long, Billy",MO,7,Rep,MO7,Long,Rep.Billy.Long,Billy Long,Republican,USRepLong,15658
L000579,"Lowenthal, Alan S.",CA,47,Rep,CA47,Lowenthal,RepLowenthal,Alan S. Lowenthal,Democrat,RepLowenthal,24853
L000569,"Luetkemeyer, Blaine",MO,3,Rep,MO3,Luetkemeyer,BlaineLuetkemeyer,Blaine Luetkemeyer,Republican,RepBlainePress,10657
L000570,"Lujan, Ben Ray",NM,3,Rep,NM3,Lujan,RepBenRayLujan,Ben Ray Luján,Democrat,RepBenRayLujan,17212
M000087,"Maloney, Carolyn B.",NY,12,Rep,NY12,Maloney,RepCarolynMaloney,Carolyn B. Maloney,Democrat,RepMaloney,26178
M001158,"Marchant, Kenny",TX,24,Rep,TX24,Marchant,RepKennyMarchant,Kenny Marchant,Republican,RepKenMarchant,24129
M001179,"Marino, Tom",PA,10,Rep,PA10,Marino,CongressmanMarino,Tom Marino,Republican,RepTomMarino,20715
M001163,"Matsui, Doris O.",CA,6,Rep,CA6,Matsui,doris.matsui,Doris O. Matsui,Democrat,DorisMatsui,30267
M001157,"McCaul, Michael T.",TX,10,Rep,TX10,McCaul,michaeltmccaul,Michael T. McCaul,Republican,RepMcCaul,25086
M001143,"McCollum, Betty",MN,4,Rep,MN4,McCollum,repbettymccollum,Betty McCollum,Democrat,BettyMcCollum04,25746
M000312,"McGovern, James P.",MA,2,Rep,MA2,McGovern,RepJimMcGovern,James P. McGovern,Democrat,RepMcGovern,36753
M001156,"McHenry, Patrick T.",NC,10,Rep,NC10,McHenry,CongressmanMcHenry,Patrick T. McHenry,Republican,PatrickMcHenry,23390
M001180,"McKinley, David B.",WV,1,Rep,WV1,McKinley,RepMcKinley,David B. McKinley,Republican,RepMcKinley,27980
M001159,"McMorris Rodgers, Cathy",WA,5,Rep,WA5,McMorris Rodgers,mcmorrisrodgers,Cathy McMorris Rodgers,Republican,CathyMcMorris,45140
M001166,"McNerney, Jerry",CA,9,Rep,CA9,McNerney,jerrymcnerney,Jerry McNerney,Democrat,RepMcNerney,19949
M001187,"Meadows, Mark",NC,11,Rep,NC11,Meadows,Repmarkmeadows,Mark Meadows,Republican,RepMarkMeadows,89774
