,district,name,state
336,36,"Ruiz, Raul",CA
337,0,"Sablan, Gregorio Kilili Camacho",MP
338,38,"Sanchez, Linda T.",CA
339,46,"Sanchez, Loretta",CA
340,28,"Schiff, Adam B.",CA
341,3,"Scott, Robert C. ""Bobby""",VA
342,15,"Serrano, Jose E.",NY
343,7,"Sewell, Terri A.",AL
344,30,"Sherman, Brad",CA
345,25,"Slaughter, Louise McIntosh",NY
346,9,"Smith, Adam",WA
347,2,"Thompson, Bennie G.",MS
348,1,"Titus, Dina",NV
349,3,"Tsongas, Niki",MA
350,34,"Vela, Filemon",TX
351,1,"Visclosky, Peter J.",IN
352,12,"Watson Coleman, Bonnie",NJ
353,5,"Cooper, Jim",TN
354,3,"Jones, Walter B., Jr.",NC
355,5,"Sensenbrenner, F. James, Jr.",WI
356,1,"Bridenstine, Jim",OK
357,6,"Grothman, Glenn",WI
358,4,"Jordan, Jim",OH
359,11,"Nugent, Richard B.",FL
360,8,"Posey, Bill",FL
361,8,"Ribble, Reid J.",WI
362,3,"Smith, Adrian",NE
363,6,"Barr, Andy",KY
364,7,"Brat, Dave",VA
365,5,"Brooks, Mo",AL
366,19,"Clawson, Curt",FL
367,1,"Crawford, Eric A. ""Rick""",AR
368,7,"Duffy, Sean P.",WI
369,6,"Emmer, Tom",MN
370,3,"Fleischmann, Charles J. ""Chuck""",TN
371,8,"Franks, Trent",AZ
372,13,"Jolly, David",FL
373,4,"King, Steve",IA
374,5,"Lamborn, Doug",CO
375,3,"MacArthur, Thomas",NJ
376,2,"McSally, Martha",AZ
377,7,"Meehan, Patrick",PA
378,7,"Mica, John L.",FL
379,19,"Neugebauer, Randy",TX
380,4,"Newhouse, Dan",WA
381,4,"Palazzo, Steven M.",MS
382,16,"Renacci, James B.",OH
383,7,"Rice, Tom",SC
384,18,"Schock, Aaron",IL
385,8,"Smith, Jason",MO
386,2,"Stewart, Chris",UT
387,5,"Thompson, Glenn",PA
388,3,"Westmoreland, Lynn A.",GA
389,25,"Williams, Roger",TX
390,1,"Wittman, Robert J.",VA
391,7,"Woodall, Rob",GA
392,3,"Yoho, Ted S.",FL
393,3,"Amash, Justin",MI
394,16,"Buchanan, Vern",FL
395,1,"Carter, Earl L. ""Buddy""",GA
396,31,"Carter, John R.",TX
397,3,"Duncan, Jeff",SC
398,4,"Fleming, John",LA
399,5,"Garrett, Scott",NJ
400,1,"Gohmert, Louie",TX
401,4,"Gowdy, Trey",SC
402,14,"Graves, Tom",GA
403,10,"Hice, Jody B.",GA
404,1,"Huelskamp, Tim",KS
405,23,"Hurd, Will",TX
406,5,"Hurt, Robert",VA
