_bill,_district,_id,_joined_at,_name,_state,_title,_type
hr6,1,L000578,2015-06-18,"LaMalfa, Doug",CA,Rep,cosponsor
hr6,7,L000567,2015-05-22,"Lance, Leonard",NJ,Rep,cosponsor
hr6,2,L000559,2015-06-24,"Langevin, James R.",RI,Rep,cosponsor
hr6,1,L000557,2015-06-25,"Larson, John B.",CT,Rep,cosponsor
hr6,5,L000566,2015-06-02,"Latta, Robert E.",OH,Rep,cosponsor
hr6,14,L000581,2015-06-16,"Lawrence, Brenda L.",MI,Rep,cosponsor
hr6,13,L000551,2015-06-02,"Lee, Barbara",CA,Rep,cosponsor
hr6,5,L000287,2015-06-25,"Lewis, John",GA,Rep,cosponsor
hr6,33,L000582,2015-06-25,"Lieu, Ted",CA,Rep,cosponsor
hr6,3,L000563,2015-06-24,"Lipinski, Daniel",IL,Rep,cosponsor
hr6,2,L000554,2015-06-24,"LoBiondo, Frank A.",NJ,Rep,cosponsor
hr6,2,L000565,2015-05-22,"Loebsack, David",IA,Rep,cosponsor
hr6,19,L000397,2015-06-15,"Lofgren, Zoe",CA,Rep,cosponsor
hr6,7,L000576,2015-05-22,"Long, Billy",MO,Rep,cosponsor
hr6,47,L000579,2015-06-25,"Lowenthal, Alan S.",CA,Rep,cosponsor
hr6,3,L000569,2015-06-16,"Luetkemeyer, Blaine",MO,Rep,cosponsor
hr6,3,L000570,2015-06-01,"Lujan, Ben Ray",NM,Rep,cosponsor
hr6,12,M000087,2015-06-18,"Maloney, Carolyn B.",NY,Rep,cosponsor
hr6,24,M001158,2015-05-22,"Marchant, Kenny",TX,Rep,cosponsor
hr6,10,M001179,2015-06-25,"Marino, Tom",PA,Rep,cosponsor
hr6,6,M001163,2015-05-22,"Matsui, Doris O.",CA,Rep,cosponsor
hr6,10,M001157,2015-05-22,"McCaul, Michael T.",TX,Rep,cosponsor
hr6,4,M001143,2015-06-18,"McCollum, Betty",MN,Rep,cosponsor
hr6,2,M000312,2015-06-18,"McGovern, James P.",MA,Rep,cosponsor
hr6,10,M001156,2015-06-17,"McHenry, Patrick T.",NC,Rep,cosponsor
hr6,1,M001180,2015-05-22,"McKinley, David B.",WV,Rep,cosponsor
hr6,5,M001159,2015-05-22,"McMorris Rodgers, Cathy",WA,Rep,cosponsor
hr6,9,M001166,2015-05-22,"McNerney, Jerry",CA,Rep,cosponsor
hr6,11,M001187,2015-06-11,"Meadows, Mark",NC,Rep,cosponsor
hr6,6,M001188,2015-06-15,"Meng, Grace",NY,Rep,cosponsor
hr6,6,M001189,2015-06-11,"Messer, Luke",IN,Rep,cosponsor
hr6,10,M001150,2015-06-03,"Miller, Candice S.",MI,Rep,cosponsor
hr6,4,M001194,2015-06-18,"Moolenaar, John R.",MI,Rep,cosponsor
hr6,4,M001160,2015-05-22,"Moore, Gwen",WI,Rep,cosponsor
hr6,6,M001196,2015-06-17,"Moulton, Seth",MA,Rep,cosponsor
hr6,2,M001190,2015-05-22,"Mullin, Markwayne",OK,Rep,cosponsor
hr6,18,M001151,2015-05-22,"Murphy, Tim",PA,Rep,cosponsor
hr6,10,N000002,2015-06-18,"Nadler, Jerrold",NY,Rep,cosponsor
hr6,8,N000127,2015-05-22,"Nolan, Richard M.",MN,Rep,cosponsor
hr6,0,N000147,2015-06-11,"Norton, Eleanor Holmes",DC,Rep,cosponsor
hr6,16,O000170,2015-06-09,"O'Rourke, Beto",TX,Rep,cosponsor
hr6,22,O000168,2015-06-02,"Olson, Pete",TX,Rep,cosponsor
hr6,6,P000034,2015-05-19,"Pallone, Frank, Jr.",NJ,Rep,original cosponsor
hr6,3,P000594,2015-06-24,"Paulsen, Erik",MN,Rep,cosponsor
hr6,10,P000604,2015-06-09,"Payne, Donald M., Jr.",NJ,Rep,cosponsor
hr6,7,P000593,2015-05-22,"Perlmutter, Ed",CO,Rep,cosponsor
hr6,4,P000605,2015-06-25,"Perry, Scott",PA,Rep,cosponsor
hr6,52,P000608,2015-06-11,"Peters, Scott H.",CA,Rep,cosponsor
hr6,0,P000596,2015-06-03,"Pierluisi, Pedro R.",PR,Rep,cosponsor
hr6,9,P000606,2015-06-15,"Pittenger, Robert",NC,Rep,cosponsor
hr6,16,P000373,2015-05-19,"Pitts, Joseph R.",PA,Rep,original cosponsor
hr6,2,P000607,2015-06-11,"Pocan, Mark",WI,Rep,cosponsor
hr6,2,P000598,2015-06-09,"Polis, Jared",CO,Rep,cosponsor
hr6,4,P000602,2015-06-02,"Pompeo, Mike",KS,Rep,cosponsor
hr6,5,Q000023,2015-06-03,"Quigley, Mike",IL,Rep,cosponsor
hr6,13,R000053,2015-06-18,"Rangel, Charles B.",NY,Rep,cosponsor
hr6,23,R000585,2015-06-18,"Reed, Tom",NY,Rep,cosponsor
hr6,4,R000602,2015-06-24,"Rice, Kathleen M.",NY,Rep,cosponsor
hr6,2,R000589,2015-06-24,"Rigell, E. Scott",VA,Rep,cosponsor
hr6,1,R000582,2015-06-09,"Roe, David P.",TN,Rep,cosponsor
hr6,3,R000575,2015-06-16,"Rogers, Mike D.",AL,Rep,cosponsor
hr6,27,R000435,2015-06-23,"Ros-Lehtinen, Ileana",FL,Rep,cosponsor
hr6,6,R000580,2015-05-22,"Roskam, Peter J.",IL,Rep,cosponsor
hr6,15,R000593,2015-06-09,"Ross, Dennis A.",FL,Rep,cosponsor
