_query_time,_type,_id,_session,_status,_short_title,_official_title,_passed_house,_passed_senate,_introduced,_top_subject,_sponsor_id,_sponsor_name,_sponsor_party,_n_cosponsors,_n_dem_cosponsors,_n_rep_cosponsors,_n_withdrawn_cosponsors
2021-02-26_00-40-26,hr,2575,116,PARSED,AI in Government Act of 2020,"To authorize an AI Center of Excellence within the General Services Administration, and for other purposes.",True,False,2019-05-08,Government Operations and Politics,M001166,Jerry McNerney,D,1,0,1,0
2021-02-26_00-40-27,hr,2576,116,PARSED,Federal Government Advertising Equity Accountability Act,"To require a report on expenditures for contracts for advertising services, and for other purposes.",False,False,2019-05-08,Government Operations and Politics,N000147,Eleanor Holmes Norton,D,13,13,0,0
2021-02-26_00-40-28,hr,2577,116,PARSED,PFAS Right-To-Know Act,"To amend the Emergency Planning and Community Right-To-Know Act of 1986 to include per- and polyfluoroalkyl substances on the Toxics Release Inventory, and for other purposes.",False,False,2019-05-08,Environmental Protection,D000630,Antonio Delgado,D,39,37,2,0
2021-02-26_00-40-28,hr,2578,116,PARSED,National Flood Insurance Program Extension Act of 2019,"To reauthorize the National Flood Insurance Program, and for other purposes.",True,False,2019-05-08,Finance and Financial Sector,W000187,Maxine Waters,D,1,0,1,0
2021-02-26_00-40-29,hr,2579,116,PARSED,Materials Act of 1947,"To modify the requirements applicable to locatable minerals on public domain lands, consistent with the principles of self-initiation of mining claims, and for other purposes.",False,False,2019-05-08,Public Lands and Natural Resources,G000551,Raúl M. Grijalva,D,27,27,0,0
2021-02-26_00-40-30,hr,2580,116,PARSED,Modernizing Drug Enforcement Act of 2019,"To amend the Controlled Substances Act to deem drugs or other substances that act as mu opioid receptor agonists to be in schedule I, subject to exceptions for substances intended for legitimate medical or research use, and for other purposes.",False,False,2019-05-08,Crime and Law Enforcement,R000582,Phil Roe,R,1,1,0,0
2021-02-26_00-40-31,hr,2581,116,PARSED,Nurse Staffing Standards for Hospital Patient Safety and Quality Care Act of 2019,"To amend the Public Health Service Act to establish direct care registered nurse-to-patient staffing ratio requirements in hospitals, and for other purposes.",False,False,2019-05-08,Health,S001145,Jan Schakowsky,D,56,56,0,0
2021-02-26_00-40-32,hr,2582,116,PARSED,Opioid QuOTA Act,"To amend the Controlled Substances Act to require the Attorney General to make procurement quotas for opioid analgesics publicly available, and for other purposes.",False,False,2019-05-08,Crime and Law Enforcement,C001084,David Cicilline,D,0,0,0,0
2021-02-26_00-40-33,hr,2583,116,PARSED,"To designate Union Station in Washington, DC, as ""Harry S. Truman Union Station"".","To designate Union Station in Washington, DC, as ""Harry S. Truman Union Station"".",False,False,2019-05-08,Government Operations and Politics,C001061,Emanuel Cleaver II,D,1,0,1,0
2021-02-26_00-40-34,hr,2584,116,PARSED,To amend the Congressional Budget Act of 1974 respecting the scoring of preventive health savings.,To amend the Congressional Budget Act of 1974 respecting the scoring of preventive health savings.,False,False,2019-05-08,Economics and Public Finance,D000197,Diana DeGette,D,24,12,12,0
2021-02-26_00-40-34,hr,2585,116,PARSED,Resources for Victims of Gun Violence Act of 2019,To establish a Federal Advisory Council to Support Victims of Gun Violence.,False,False,2019-05-08,Crime and Law Enforcement,E000296,Dwight Evans,D,79,79,0,0
2021-02-26_00-40-36,hr,2586,116,PARSED,Federal Agency Customer Experience Act of 2019,"To require the collection of voluntary feedback on services provided by agencies, and for other purposes.",False,False,2019-05-08,Government Operations and Politics,F000466,Brian Fitzpatrick,R,2,2,0,0
2021-02-26_00-40-37,hr,2587,116,PARSED,Reef Safe Act of 2019,"To require the Commissioner of Food and Drugs to develop standards for a ""Reef Safe"" label for sunscreen.",False,False,2019-05-08,Health,G000571,Tulsi Gabbard,D,2,2,0,0
2021-02-26_00-40-38,hr,2588,116,PARSED,Oxybenzone and Octinoxate Impact Study Act of 2019,"To require the Administrator of the Environmental Protection Agency to conduct a study on the effects of oxybenzone and octinoxate on the environment and public health, and for other purposes.",False,False,2019-05-08,Environmental Protection,G000571,Tulsi Gabbard,D,1,1,0,0
2021-02-26_00-40-39,hr,2589,116,PARSED,Unifying DHS Intelligence Components Act,"To amend the Homeland Security Act of 2002 to establish a homeland intelligence doctrine for the Department of Homeland Security, and for other purposes.",True,False,2019-05-08,Emergency Management,G000590,Mark Green,R,0,0,0,0
2021-02-26_00-40-39,hr,2590,116,PARSED,DHS Overseas Personnel Enhancement Act of 2019,"To require a Department of Homeland Security overseas personnel enhancement plan, and for other purposes.",True,False,2019-05-08,Emergency Management,K000386,John Katko,R,1,1,0,0
2021-02-26_00-40-40,hr,2591,116,PARSED,PFAS Waste Incineration Ban Act of 2019,"To prohibit the waste incineration of per- and polyfluoroalkyl substances, and for other purposes.",False,False,2019-05-08,Environmental Protection,K000389,Ro Khanna,D,8,8,0,0
2021-02-26_00-40-41,hr,2592,116,PARSED,Honest Ads Act,"To enhance transparency and accountability for online political advertisements by requiring those who purchase and publish such ads to disclose information about the advertisements to the public, and for other purposes.",False,False,2019-05-08,Government Operations and Politics,K000381,Derek Kilmer,D,35,17,18,0
